payloads,distances,joules_available,energy_used
0.68,33878,7680,564966
3.224,77033,1374400,2218041
1.88,85013,1464160,1702588
4.52,31778,1120,837571
4.904,96997,627680,2758063
2.792,37602,633920,911548
4.472,40528,503680,1253476
3.272,98096,452320,2696846
1.016,59736,385440,1236953
3.8,51238,898720,1230632
1.4,84698,841600,1622975
0.2,78650,1565120,1155608
3.848,51742,1534880,1333863
2.6,55158,579360,1339094
1.256,69690,310560,1200371
3.272,39352,251040,960669
2.6,49866,670720,1057209
1.112,94750,240960,1831846
1.736,85391,66400,1958116
2.984,51014,927200,1023166
1.256,61185,995840,1501006
3.512,44889,1543200,1211069
2.792,58000,686240,1566048
1.736,90158,819680,2140713
2.936,63075,1486720,1772123
1.928,46611,1171520,1244669
3.368,61388,953920,1492539
3.944,90438,448960,2849384
1.16,42243,804800,783711
1.256,86420,404640,1540009
4.568,70824,927040,2002989
1.112,64650,1146880,1408047
1.88,73827,1267200,1863815
4.28,68094,819040,2334728
2.024,98481,223840,2206971
2.888,63054,1548000,1576672
1.976,41564,1093280,764080
1.496,40192,685920,641542
3.32,34291,1518080,932269
3.608,31687,925920,788109
2.6,80995,824960,1759319
4.856,79392,1436960,2452945
1.064,48984,1596640,956687
2.696,52176,303520,1087377
2.216,51343,1561280,1121567
4.76,48921,1307680,1329811
2.504,93308,933120,1883283
1.304,91306,110240,2004271
0.488,95891,1319360,1615754
3.56,34200,472160,782454
1.208,34039,449280,445930
4.904,60604,14560,1500351
3.464,70439,1433440,1928151
1.448,34158,1318880,544666
4.712,61493,1327040,1727073
1.064,55697,723360,1300547
1.352,81527,153760,1968044
0.776,77075,1444000,1134982
3.368,35992,333120,834651
4.568,70516,358400,2096135
2.264,48697,1034560,1247954
1.16,98005,236800,1801356
4.04,64083,1421120,2137990
4.376,63425,755840,1797885
4.616,77222,564320,2568515
0.968,50356,635840,875316
2.84,41438,1235680,1111885
2.888,32086,716800,953522
2.216,42663,928160,929091
3.752,73862,1007840,1968549
4.28,85083,14560,2209863
0.536,93931,1266400,1547506
0.584,59414,25440,1164541
4.088,58161,1292480,1613809
3.08,39261,1082080,1069128
1.448,87554,759520,1955769
1.784,53989,1460480,1030818
1.208,34340,59360,614447
2.6,79581,284800,1687841
3.176,79959,717920,2164348
0.2,37147,195200,687050
1.688,46639,1087680,917908
4.04,44574,1528480,1398555
3.32,82479,104960,2216100
2.072,88380,288320,2171281
3.464,70082,1258240,1555299
0.776,61528,1242720,1004320
1.784,99468,257440,2096266
2.504,35075,781280,868459
2.6,98635,1252000,2625159
3.992,63488,1136640,2099816
3.272,59148,1009120,1459853
4.328,72882,7360,2019184
2.984,53142,1343200,1516977
1.736,77019,868160,1660026
2.84,60758,914240,1424860
2.648,78783,49920,2287658
4.424,30329,1146880,914765
0.296,51203,1559840,802833
4.232,81702,367360,2185578
2.264,91516,922240,1920026
1.448,45687,145600,991608
4.184,70635,110400,2155578
0.392,42187,1011680,610531
4.04,66883,138720,1787565
4.184,83865,1369760,2726156
0.776,57594,1081120,1268121
0.296,90578,374560,1387002
3.656,88009,641600,2112858
0.728,48543,834560,908748
2.072,87106,327360,2287688
3.224,90634,710880,2302510
4.52,73190,1534560,1993357
2.12,89374,760480,2144014
4.52,53331,1060800,1401749
4.328,48417,879360,1304452
4.472,75094,578400,2225937
1.496,46779,480,869719
2.648,69865,773760,1292984
3.944,93343,947360,2606105
4.088,73344,1274240,1890382
3.224,50461,43840,1424070
2.456,91831,985120,2210221
1.688,57881,1477120,1344067
0.536,88065,770240,1248631
0.344,78671,211040,1270753
0.296,61304,737280,881423
1.352,41102,151520,749111
4.664,85440,643040,2506235
2.504,41046,289600,1003015
0.296,52764,52480,996098
1.64,81254,1492000,1324589
4.184,92804,1547840,2303116
3.704,83977,511520,2390952
4.424,83228,644320,2129579
3.944,60653,1448960,1317261
3.8,67625,810880,1665973
3.416,57447,259200,1352939
1.112,50811,526720,981449
3.176,39254,1089600,1090309
4.808,35096,1172320,1099563
0.728,95170,684000,1706715
2.552,70404,896800,1548194
0.68,95961,226400,1707423
2.792,54150,1324320,1394673
4.04,88611,991040,2785551
0.2,76886,447200,1454441
2.984,59148,433600,1657813
3.896,82094,857440,2143422
4.28,71951,500000,2253404
0.968,53611,524000,1088008
2.552,89332,758880,1843111
2.072,76109,17760,1455855
1.016,85874,512800,1717907
4.472,96857,943040,2770315
0.488,32751,1452640,504723
4.136,81121,535040,2283125
3.272,94540,1598880,2605384
2.936,36804,1120000,894118
3.656,59981,247360,1324955
1.304,63362,584640,916284
1.976,74702,1050240,1543533
1.352,73484,1360480,1333920
2.456,40031,268960,841874
1.064,63369,759520,1083603
2.552,77537,1424000,2209998
2.84,61521,1028640,1472187
2.072,44140,1126560,935384
0.872,51623,1195200,844719
0.344,96059,464320,1436353
4.232,81632,1448160,1900280
3.512,96731,68480,2615000
3.512,67205,864800,2153672
2.84,44931,1036320,1202121
0.344,37882,1123200,668131
1.16,84670,45120,1900045
2.696,93637,1372640,1687077
3.128,36804,646240,967587
0.2,64111,370240,910267
1.688,62214,42880,1172230
2.312,51553,202880,1332396
0.728,66897,328480,1201648
0.968,78517,887840,1644148
0.824,77250,1394560,1625767
3.656,95037,262720,2313566
3.56,98747,827360,3089388
2.072,32450,31200,859705
2.84,43496,1300320,1148627
0.68,31561,721920,567063
3.368,95996,1019040,2804604
2.312,61605,930080,1409046
4.472,98313,997120,3187482
4.856,79805,994400,2015376
3.176,95744,1421440,2298511
1.832,74835,150400,1655351
1.496,79756,720640,1755553
1.784,75913,158400,1545688
1.736,77726,1070080,1634160
2.36,95877,171360,2329677
2.408,47444,1457120,1383284
1.592,91950,884800,2292201
4.04,94708,1099040,2532947
0.872,75878,177120,1381016
4.184,85622,900960,2447395
0.296,82192,109760,1385182
3.848,47444,480000,1127767
4.136,56173,1421280,1635502
3.128,88464,1518720,2023897
1.688,41060,1272000,866164
1.448,92608,1429600,1970699
3.368,32282,1007520,972717
1.352,51210,180960,904528
2.504,34137,1115040,825669
1.112,30560,548800,651898
4.904,48053,1389600,1404870
2.792,68668,699040,1670476
4.088,73456,328640,2352972
4.184,76396,1056960,1887623
2.36,83935,402720,1896195
1.64,83060,1430560,1664979
4.904,30168,365760,996968
3.944,61892,1441920,1627302
2.696,79504,1042400,1986630
3.32,46779,637760,1173662
0.872,90431,1092320,1750697
4.04,68500,503520,1921660
4.952,95814,1475680,2558594
2.264,46891,953760,1305624
1.88,33535,859200,820193
4.088,68871,371520,1709241
2.6,54458,17120,1129696
4.136,94022,848320,2473082
1.592,88576,1111040,1974464
0.344,38988,464320,533803
2.984,38820,281760,1128458
1.88,62816,234240,1458329
4.328,95212,383200,3089715
3.224,91138,437600,2050979
2.6,62074,1280960,1577624
3.752,52288,709440,1506245
0.728,72042,1528480,1006162
3.944,67737,94080,2020420
1.016,48060,472960,979307
0.632,85797,1380320,1227117
0.44,92650,1059680,1464130
3.752,39926,723520,1077758
3.416,46576,380480,1193371
1.256,31652,682880,540089
0.776,51462,631520,918562
4.568,58392,420640,1501690
2.168,54556,1434240,1460036
1.496,46310,1587680,1044703
1.304,74177,93120,1227720
1.16,52974,504960,1043891
1.016,48543,1384320,807125
3.176,48606,1512000,1179815
3.656,54927,861920,1502134
4.808,76928,45920,2789581
3.512,75003,475360,2405252
4.808,52281,687520,1885743
4.52,77082,636640,2229604
2.36,81093,891520,1845310
1.832,63005,416320,1812037
1.256,71356,1431200,1647033
3.416,55662,1106240,1446744
1.4,36062,867840,659179
4.52,96087,504320,2802368
4.808,73813,1248800,2153872
3.8,90641,1012480,2812072
3.176,67891,1268160,1489746
3.608,86245,595200,2418343
1.304,89360,652800,1508400
2.072,39394,692320,848799
0.488,62529,130400,1204512
3.896,68927,567680,2080832
4.52,49467,54560,1605670
3.464,36594,887200,1091932
2.12,68227,407040,1335852
2.696,68955,621920,1654010
4.376,71314,1193920,2221291
4.376,37196,942240,909053
3.224,47857,687840,1023349
3.272,71818,465440,2043252
1.496,96605,895680,1739833
1.784,49929,838720,980608
2.648,41732,561920,957209
4.616,43510,1404800,1261328
2.072,80176,1039680,2204442
2.936,43433,1040800,896284
1.64,63565,1365920,1491691
1.016,87673,148800,1767658
1.4,67303,1539840,1318441
2.696,73820,796320,1703910
1.496,33255,394080,797155
1.592,54563,385440,1131873
3.992,87659,742400,2424480
2.6,57531,804800,1489256
2.648,39380,1555200,833310
2.744,47192,1109120,1238825
1.352,92104,148480,1838486
1.352,64146,782400,1226932
2.6,99923,141120,2443857
0.872,58994,994720,1025447
0.2,73967,733440,1026391
2.744,85713,190080,2390626
3.56,58938,106240,1728907
2.648,61535,777760,1196007
3.272,94379,1356960,2227357
2.984,94603,1514240,2156918
2.648,86840,1262720,2185241
3.224,79105,564320,2276473
0.728,98964,844320,1970847
3.416,69935,1140800,2115372
4.616,39667,1379520,1199947
3.464,71685,824320,2118238
1.736,92230,888160,2188377
1.976,89304,910240,2077200
1.064,95674,128640,1965602
4.568,78405,531680,2471586
3.272,80400,1155040,2058299
2.264,92391,142240,2109177
1.592,31302,315360,858178
3.176,71839,1146080,1586993
4.28,92972,1517120,2322062
3.944,88002,68000,2470114
4.904,38120,1424480,1217104
1.784,50643,1216000,1269580
4.232,87512,1455200,2863454
4.856,59295,905440,1926777
1.064,60800,1549600,1100143
3.56,81177,1213920,2188860
0.68,88100,1484640,1612356
0.248,85272,778080,1337977
3.848,42173,868320,1316807
3.464,60891,771040,1735313
0.776,30392,296480,539301
0.488,93700,1251040,1445519
4.664,82717,1326880,2187577
2.888,33374,345920,752609
0.632,83753,909280,1606491
1.736,95170,1370720,2356581
1.16,69641,640160,1695985
2.936,50461,68320,1149342
2.504,95254,1010080,2355058
3.128,33213,1110720,765130
0.92,68157,807520,986797
0.728,40283,502240,701336
1.64,92930,1162720,1879324
3.272,43321,23840,1126891
4.088,31218,223360,1017338
1.976,91012,432160,1999862
3.8,52596,125440,1522001
2.6,69067,1221280,1855941
0.296,47472,188800,774351
4.712,55417,777120,1749872
3.848,45232,834080,1304325
2.792,84047,1347680,2068856
2.264,80694,1261120,1437918
2.264,39863,670400,978423
0.248,85048,1021280,1278280
5,82675,309280,2359341
0.92,57503,1260320,1257697
4.472,89038,323680,2741188
0.44,60492,901920,1233721
0.584,66687,1438720,1281384
1.88,98138,657440,2267836
3.368,40815,372480,1145592
2.504,35173,882560,860593
3.944,62501,441920,1651393
0.872,57265,545440,1002663
2.408,98978,467360,2045589
4.328,80141,711520,2042863
0.488,36433,1225440,507124
0.776,99132,845760,1536346
1.688,32177,1433600,600416
2.552,55683,1401120,1286075
1.352,52925,1318720,1016872
3.224,38491,1091680,1008591
1.592,67016,1348800,1442737
4.28,80722,1205280,2264360
1.976,35964,727360,813546
2.696,46093,1573280,1270383
2.408,79392,1348160,1988463
2.12,32359,442400,706925
3.752,96801,630880,3214750
2.84,30196,692640,769027
3.992,89843,490720,1987507
0.536,37917,1107360,642591
2.936,45939,1245760,1294130
1.256,41431,190400,715734
3.176,68087,784480,1705101
2.216,46611,842240,1041446
3.656,89143,620800,2956611
2.84,33346,1581600,768382
4.808,59421,1549760,1821864
1.832,76508,563840,1414740
1.592,66092,127520,1288934
0.488,95002,456480,1669607
4.856,37007,639200,1191462
4.328,86413,219520,2285595
1.784,84054,1375200,2061146
4.952,36846,39840,1247211
1.88,41284,1305760,985794
2.024,34368,190560,791564
2.36,95996,686080,1970087
0.776,73078,1244640,1214432
4.568,74394,707040,1968679
0.488,68185,733920,928609
4.76,71405,685600,1682436
3.656,99678,353760,2585793
2.264,93077,1390240,2051977
1.4,43874,229600,911163
3.848,78146,1449600,2152839
0.296,38638,519680,651359
3.128,85307,999840,2056468
0.392,87456,1290560,1683167
1.4,95009,1046080,1714740
1.304,64517,1116640,1324581
3.656,93469,1247040,2428207
4.568,76599,1385600,2083037
0.2,33346,242080,464266
0.248,85538,526400,1573089
0.584,48298,1451200,597692
2.072,57041,1129600,1411730
3.752,42565,432320,1100405
2.84,38491,624160,947378
2.312,64244,422240,1335749
4.712,42152,1565440,1135849
2.936,32212,1351680,854404
1.928,96024,839520,2133330
4.712,70845,609440,1946170
0.44,75066,366080,1414768
1.448,68045,924960,1372437
2.936,35761,113280,898238
1.88,75283,27200,1506637
2.648,75304,1043520,1765577
1.16,77677,1282720,1417110
0.776,64692,555200,1067691
4.184,79854,259040,2351552
2.552,99517,1497760,2350340
2.168,81653,230880,2190581
4.76,48060,501440,1288446
2.984,67933,52000,1562959
2.648,95569,722400,2083970
3.416,45435,1529120,1199101
0.632,69501,1362080,1397859
4.136,48984,1412800,1361500
2.408,56054,881120,1167922
0.536,50272,357600,966988
3.704,99839,544160,2206355
0.68,52694,1204320,886911
1.016,45547,1056960,738198
0.44,30525,407840,545378
3.368,51315,371200,1228125
3.224,83165,379360,1776153
4.424,64699,258080,1822108
1.976,66764,815520,1487281
0.92,44721,662720,820545
2.072,45533,163200,1039425
3.032,81877,443040,2084301
1.304,76333,1021440,1477991
0.584,59127,326240,1009708
4.664,66400,597120,1514843
0.488,58133,1474560,1000244
4.088,42943,1306080,1349007
2.36,62984,1133440,1169044
3.08,92748,950400,2033574
3.8,49677,957120,1272127
2.984,41984,831360,953125
4.088,88338,1468800,1997360
3.128,58091,315520,1683120
1.208,44070,1313600,786261
1.112,83956,415040,1850948
1.016,48333,548320,1081099
4.328,78678,1254560,2376710
1.976,36930,960480,802735
0.536,62564,840000,993560
0.824,63215,1551520,1321653
1.736,73890,984960,1773720
2.696,42334,540640,1000210
2.312,85958,181440,1696043
3.176,51945,1158880,1112490
1.448,93084,1359840,1957723
0.2,37840,524320,649465
2.216,73953,1410400,2111002
1.496,54773,558560,1368444
3.944,91817,283680,2465408
1.064,63873,347680,980702
3.8,41361,1156480,1197618
3.752,90256,348160,2435427
1.16,73939,1135360,1537879
0.296,41179,1004000,562056
1.784,58581,1242240,1110249
0.248,77397,860480,1521860
3.656,91964,1136320,2910472
2.168,91362,669120,1843256
1.112,46429,111520,938122
4.952,97690,1176320,2853136
2.648,39758,337760,848152
0.728,47220,319520,785616
0.536,83900,1453920,1529032
5,42859,792640,1178799
2.936,53415,987840,1230441
4.904,60765,1072000,1808187
2.072,83018,1206880,1660887
4.328,83067,1337280,2597378
4.04,84887,1266560,2200281
3.944,51665,600000,1503057
0.68,72896,1461600,1189841
2.744,55774,524640,1467936
4.664,60485,482400,1679786
2.36,79189,1276160,1722673
0.728,91880,1181600,1954852
1.64,83963,632800,1727308
3.752,96402,1308160,3005767
4.664,91474,539680,2963844
0.968,43132,1346080,821326
0.44,58686,1138240,810684
3.752,34445,392480,1115620
2.984,88681,950080,2258165
3.8,95471,1276000,2768153
3.224,46800,604000,1332847
1.544,44574,427520,793017
5,53856,1439040,1470748
4.472,76690,739840,2355602
3.56,84187,1488640,2291870
4.376,70089,100960,1938239
1.784,58035,718240,1123132
2.552,53352,693280,1375291
1.448,52722,319520,925608
3.176,32632,537440,755034
3.656,45239,313600,1209364
3.8,75549,731360,1976545
0.392,80561,781440,1120365
2.312,58427,33280,1285547
4.568,52001,1055040,1642619
1.16,52855,959520,1098490
2.984,80596,891360,2246859
3.896,83298,1564800,1995597
3.464,55277,768800,1658237
4.664,62641,874720,1855367
3.656,99538,1172800,2079194
3.32,51455,1059520,1436385
4.808,32128,1324000,1094596
3.656,55305,183680,1520939
1.256,39688,1454400,760083
4.184,74499,355200,1548909
2.024,86987,955680,1765230
3.752,55571,333600,1368711
3.56,76046,194880,1626687
1.304,62606,1120960,1307316
4.28,47444,1198880,1295660
1.304,94015,366080,1400111
3.704,85202,792000,2076625
1.352,30133,1263360,674489
4.424,70999,977440,1872799
4.808,77187,1192800,2282087
0.296,40283,1288960,587486
1.304,68248,1566240,1521266
2.264,37378,110400,945535
2.024,66771,24000,1610319
2.744,99391,721280,2404447
4.376,54612,1238240,1398958
0.776,98243,1478560,1435850
0.728,59155,585280,1287070
2.072,38484,1005760,836588
2.552,45127,931520,1152087
3.08,75010,297280,1886945
4.328,98817,1549120,2646331
4.376,88765,370880,2367695
1.64,54850,677760,1219463
3.224,48137,610720,1253845
2.024,98768,1239200,2228869
3.224,91229,1543200,2272815
4.856,80043,1016800,2563708
3.416,84663,1470720,2411758
2.312,71482,1343360,1717105
1.256,91530,1009120,1992376
3.176,95828,1124480,2498024
2.744,92895,521280,2089037
1.448,90102,1177120,2149456
3.56,43440,25280,1089974
4.616,82024,1217920,2221085
4.424,78881,1370240,2928744
3.992,95772,910560,2971229
3.704,76291,626880,2022741
0.488,58994,1059200,917700
2.504,76305,1358880,1925258
0.776,34851,259840,533940
3.32,67968,1280800,1776600
4.856,40073,1026080,1176727
4.088,76270,1188000,2030724
0.2,79812,1406720,1316673
0.68,68052,517280,1091454
3.944,50251,175040,1548400
0.2,46107,1414560,782873
2.984,66680,1468640,1413860
2.792,45029,1016480,1093007
1.64,38876,652160,732332
2.024,90963,1158880,1664497
1.736,75444,727680,1329611
2.264,65735,1312320,1902048
1.784,45421,578400,741736
0.536,76697,1456640,1424697
0.248,76228,659200,1449778
2.264,30315,863840,815664
3.416,98677,1295360,2141983
4.664,30504,667200,863631
4.856,47969,570720,1640073
1.256,63411,1143040,1155621
4.328,81219,1280160,1668183
0.68,59141,1229600,763317
2.408,91005,716160,2558622
3.032,76746,1038400,2313620
2.456,62767,319840,1844185
2.744,31932,1576480,772762
0.872,38162,473120,717409
1.976,52400,1248640,1172647
1.208,75003,1053440,1350660
0.296,88912,1007360,1356103
4.04,70922,1459520,1622255
2.408,68983,1104800,1317059
2.744,46170,691680,1148599
4.28,93581,760800,2662214
4.472,34543,1269600,1156482
1.88,67863,1100480,1567793
3.128,38638,851040,988364
3.704,49306,769280,1546569
2.168,90543,976960,1900393
0.872,32716,359840,536689
2.456,97802,507040,2378260
4.808,90970,348800,2406483
3.608,41725,181760,1182022
1.16,65469,1570080,1116057
4.424,77257,1059680,2151021
4.472,91502,471200,2704644
4.472,80505,1473280,2124411
3.128,93735,230400,2070371
4.136,52428,1272640,1720056
3.416,95296,323520,2218728
1.976,38806,369920,716478
2.6,61227,1013280,1487608
3.896,73092,744800,2072811
2.264,42418,33760,935354
2.456,70390,757920,1407551
2.024,58119,14880,1191006
3.656,46142,1427520,1414049
0.776,69396,734400,963104
2.408,98852,1109760,1891608
2.648,57377,601920,1679329
4.136,32758,956640,1050177
4.616,76116,522720,2817004
1.784,52932,616000,1170292
3.272,83844,1422880,2589067
3.128,79371,406880,2012898
0.68,95331,935040,1783423
1.304,85237,1141760,1420141
4.616,85930,480,2903678
0.776,60737,788640,925125
4.424,86798,826080,2526947
0.632,59071,1105120,1131794
0.44,37357,1054400,720913
3.032,77537,485280,2127261
4.856,59638,529920,1561963
1.688,69382,1037280,1352731
1.688,97501,936480,2128057
1.88,60338,134400,1660518
2.984,63271,101600,1866353
4.904,78874,893280,2419973
0.872,68913,979360,1366035
4.424,60625,1365120,2073371
0.632,45687,8000,891112
2.312,67632,108800,1597526
4.952,42054,253920,1087415
2.984,40017,1085120,1086178
0.968,98614,128160,2005847
1.064,48480,179840,1095489
1.928,60016,826240,1384921
2.312,94897,1507680,2011267
4.904,75801,267520,2105491
1.4,46933,1063840,1051817
2.84,97438,1157920,2345466
1.208,64594,603200,1362566
1.112,41522,571840,821473
0.296,44546,260800,759811
0.296,34095,1486720,482409
2.408,94204,951200,2562324
2.408,47850,824320,997454
2.792,35432,1360000,888987
1.4,72175,1557280,1323343
3.512,37616,798080,1158115
2.216,83690,702080,1761347
2.024,42985,204000,949175
4.376,68969,306240,2092584
2.696,79882,1195520,1884368
1.064,42929,1551200,838518
4.376,39072,1256320,1007261
1.352,49215,1171520,957607
2.984,49705,82400,1160607
0.92,79308,931840,1321085
1.352,46226,1127840,820687
3.848,96843,956480,2614579
0.632,70698,1156160,1153781
4.712,73169,154240,2476646
2.744,89549,1286080,1974171
4.424,76123,279840,1872855
2.168,63096,680960,1449922
0.632,59190,1415200,922872
3.752,36272,91360,1023201
0.632,75220,804960,1341820
2.648,54850,939040,1284449
4.04,86714,755840,2259460
3.272,57132,178880,1578033
0.824,80652,991040,1551378
3.368,55487,272160,1521623
1.976,96087,647360,2032454
3.416,56075,123360,1550183
1.256,84103,1070880,1588761
3.896,57524,1577120,1591580
2.264,93105,454720,2277113
3.08,92566,1387040,2734501
1.064,38379,1272960,778136
1.496,92923,347040,1551389
4.424,36881,1567520,1162649
3.032,99118,154560,2410710
0.536,67275,1544640,1174031
0.872,33052,1181440,713456
2.84,43517,909920,1126174
3.944,66673,1416640,1710319
2.888,64097,171040,1351955
4.712,96038,468000,2140857
3.896,76417,770240,1797945
2.264,34886,248160,717088
1.448,72658,699680,1809999
3.992,50972,1569600,1614506
3.944,64601,157120,1780512
1.112,31022,1283040,532944
